Sample	Type
CASE_62_31_5_1.C18L03	CASE
CASE_67_29_3_1.C18L04	CASE
CASE_69_24_1_1.C15L04	CASE
CASE_73_32_2_1.C16L01	CASE
CASE_74_29_3_1.C16L02	CASE
CASE_80_32_4_1.C13L03	CASE
CASE_82_33_4_1.C19L01	CASE
CASE_87_36_2_1.C19L01	CASE
CASE_91_34_6_1.C19L02	CASE
CASE_A_33_1.C20L04	CASE
CASE_B_35_1.C13L02	CASE
CASE_J_35_1.C20L03	CASE
CASE_P_131_1.C13L01	CASE
CASE_P_17_30_1.C21L02	CASE
CASE_P_18_36_1.C21L03	CASE
CASE_P_193_1.C21L01	CASE
CASE_P_19_35_1.C22L04	CASE
CASE_P_20_33_1.C21L04	CASE
CASE_P_22_35_1.C21L04	CASE
CASE_P_41_31_1.C22L01	CASE
CASE_P_48_32_1.C22L02	CASE
CASE_P_52_36_1.C13L04	CASE
CASE_P_53_32_1.C22L02	CASE
CASE_P_76_29_1.C22L03	CASE
CASE_P_82_31_1.C22L04	CASE
CTRL_P_105_1.C22L01	CTRL
CTRL_P_111_1.C22L03	CTRL
CTRL_P_121_1.C22L03	CTRL
CTRL_P_122_1.C21L04	CTRL
CTRL_P_137_1_C.C22L02	CTRL
CTRL_P_138_1.C22L04	CTRL
CTRL_P_14_32_1.C18L02	CTRL
CTRL_P_190_1_C.C13L01	CTRL
CTRL_P_206_1.C13L01	CTRL
CTRL_P_28_39_1.C18L04	CTRL
CTRL_P_29_38_1.C13L03	CTRL
CTRL_P_301_1.C17L02	CTRL
CTRL_P_30_40_1.C18L04	CTRL
CTRL_P_32_38_1.C19L01	CTRL
CTRL_P_351_1.C17L01	CTRL
CTRL_P_35_41_1.C20L02	CTRL
CTRL_P_36_39_1.C13L03	CTRL
CTRL_P_37_40_1.C17L03	CTRL
CTRL_P_387_1.C17L01	CTRL
CTRL_P_388_1.C17L01	CTRL
CTRL_P_39_37_1.C16L04	CTRL
CTRL_P_405_1.C14L01	CTRL
CTRL_P_41_40_1.C19L02	CTRL
CTRL_P_42_39_1.C16L03	CTRL
CTRL_P_42_40_1.C17L04	CTRL
CTRL_P_427_1.C14L01	CTRL
CTRL_P_43_37_1.C13L02	CTRL
CTRL_P_43_39_1.C19L03	CTRL
CTRL_P_440_1.C14L02	CTRL
CTRL_P_441_1.C14L02	CTRL
CTRL_P_443_1.C14L04	CTRL
CTRL_P_44_39_1.C19L03	CTRL
CTRL_P_450_1.C14L04	CTRL
CTRL_P_461_1.C14L03	CTRL
CTRL_P_46_38_1.C19L04	CTRL
CTRL_P_465_1.C14L03	CTRL
CTRL_P_469_1.C15L01	CTRL
CTRL_P_475_1.C15L02	CTRL
CTRL_P_478_1.C15L01	CTRL
CTRL_P_479_1.C15L02	CTRL
CTRL_P_482_1.C15L03	CTRL
CTRL_P_48_37_1.C20L01	CTRL
CTRL_P_48_39_1.C18L02	CTRL
CTRL_P_490_1.C15L03	CTRL
CTRL_P_49_39_1.C20L01	CTRL
CTRL_P_494_1.C15L04	CTRL
CTRL_P_495_1.C15L04	CTRL
CTRL_P_500_1.C16L01	CTRL
CTRL_P_503_1.C16L01	CTRL
CTRL_P_50_39_1.C17L03	CTRL
CTRL_P_507_1.C16L02	CTRL
CTRL_P_513_1.C16L03	CTRL
CTRL_P_521_1.C17L04	CTRL
CTRL_P_52_38_1.C16L04	CTRL
CTRL_P_53_39_1.C17L02	CTRL
CTRL_P_53_40_1.C13L02	CTRL
CTRL_P_534_1.C17L02	CTRL
CTRL_P_536_1.C17L04	CTRL
CTRL_P_540_1.C16L02	CTRL
CTRL_P_55_40_1.C18L03	CTRL
CTRL_P_57_37_1.C20L03	CTRL
CTRL_P_59_38_1.C17L03	CTRL
CTRL_P_60_37_1.C18L01	CTRL
CTRL_P_60_40_1.C13L04	CTRL
CTRL_P_61_40_1.C13L04	CTRL
CTRL_P_62_40_1.C20L03	CTRL
CTRL_P_63_38_1.C21L01	CTRL
CTRL_P_70_1.C21L01	CTRL
CTRL_P_71_1.C20L04	CTRL
CTRL_P_72_1.C21L03	CTRL
